ID Age AgeGroup Strength Sex Party
1 27 (21,42] 26 F Rep
2 58 (42,62] 22 F Rep
3 32 (21,42] 29 F Dem
4 51 (42,62] 18 F Dem
5 38 (21,42] 28 F Rep
6 82 (62,82] 10 F Rep
7 29 (21,42] 27 F Rep
8 64 (62,82] 17 M Rep
9 33 (21,42] 24 F Dem
10 30 (21,42] 22 F Rep
11 64 (62,82] 16 F Rep
12 75 (62,82] 9 F Rep
13 33 (21,42] 24 F Dem
14 55 (42,62] 23 F Rep
15 50 (42,62] 20 F Rep
16 59 (42,62] 16 M Rep
17 30 (21,42] 26 F Dem
18 64 (62,82] 22 F Rep
19 47 (42,62] 20 F Rep
20 67 (62,82] 18 F Dem
21 25 (21,42] 25 M Rep
22 69 (62,82] 20 M Dem
23 43 (42,62] 23 F Dem
24 48 (42,62] 21 F Dem
25 51 (42,62] 22 M Rep
26 42 (21,42] 22 M Rep
27 59 (42,62] 16 F Dem
28 81 (62,82] 12 F Dem
29 63 (62,82] 16 F Dem
30 25 (21,42] 35 F Rep
31 65 (62,82] 18 F Rep
32 66 (62,82] 20 M Rep
33 75 (62,82] 13 F Dem
34 40 (21,42] 21 M Rep
35 75 (62,82] 12 M Dem
36 55 (42,62] 16 F Rep
37 33 (21,42] 30 M Rep
38 66 (62,82] 12 F Rep
39 38 (21,42] 23 F Rep
40 36 (21,42] 25 M Rep
41 74 (62,82] 13 M Dem
42 66 (62,82] 16 M Dem
43 81 (62,82] 9 M Dem
44 47 (42,62] 22 M Rep
45 69 (62,82] 11 M Dem
46 38 (21,42] 27 M Rep
47 56 (42,62] 18 M Dem
48 31 (21,42] 19 M Dem
49 66 (62,82] 11 F Dem
50 61 (42,62] 18 F Rep
51 67 (62,82] 16 M Rep
52 60 (42,62] 18 F Rep
53 78 (62,82] 15 M Rep
54 78 (62,82] 16 F Rep
55 65 (62,82] 18 M Dem
56 29 (21,42] 24 F Dem
57 22 (21,42] 28 F Dem
58 32 (21,42] 23 F Dem
59 72 (62,82] 14 M Dem
60 45 (42,62] 20 M Rep
